name,link
Sherrod Brown,https://justfacts.votesmart.org/candidate/political-courage-test/27018/sherrod-brown
Maria Cantwell,https://justfacts.votesmart.org/candidate/political-courage-test/27122/maria-cantwell
Benjamin Cardin,https://justfacts.votesmart.org/candidate/political-courage-test/26888/ben-cardin
Thomas Carper,https://justfacts.votesmart.org/candidate/political-courage-test/22421/tom-carper
Robert Casey,https://justfacts.votesmart.org/candidate/political-courage-test/2541/bob-casey-jr
Amy Klobuchar,https://justfacts.votesmart.org/candidate/political-courage-test/65092/amy-klobuchar
Bernard Sanders,https://justfacts.votesmart.org/candidate/political-courage-test/27110/bernie-sanders
Debbie Stabenow,https://justfacts.votesmart.org/candidate/political-courage-test/515/debbie-stabenow
Jon Tester,https://justfacts.votesmart.org/candidate/political-courage-test/20928/jon-tester
Sheldon Whitehouse,https://justfacts.votesmart.org/candidate/political-courage-test/2572/sheldon-whitehouse
John Barrasso,https://justfacts.votesmart.org/candidate/political-courage-test/52662/john-barrasso
Roger Wicker,https://justfacts.votesmart.org/candidate/political-courage-test/21926/roger-wicker
Susan Collins,https://justfacts.votesmart.org/candidate/political-courage-test/379/susan-collins
John Cornyn,https://justfacts.votesmart.org/candidate/political-courage-test/15375/john-cornyn
Richard Durbin,https://justfacts.votesmart.org/candidate/political-courage-test/26847/dick-durbin
Lindsey Graham,https://justfacts.votesmart.org/candidate/political-courage-test/21992/lindsey-graham
Mitch McConnell,https://justfacts.votesmart.org/candidate/political-courage-test/53298/mitch-mcconnell-jr
Jeff Merkley,https://justfacts.votesmart.org/candidate/political-courage-test/23644/jeff-merkley
John Reed,https://justfacts.votesmart.org/candidate/political-courage-test/27060/jack-reed
James Risch,https://justfacts.votesmart.org/candidate/political-courage-test/2919/james-risch
Jeanne Shaheen,https://justfacts.votesmart.org/candidate/political-courage-test/1663/jeanne-shaheen
Mark Warner,https://justfacts.votesmart.org/candidate/political-courage-test/535/mark-warner
Kirsten Gillibrand,https://justfacts.votesmart.org/candidate/political-courage-test/65147/kirsten-gillibrand
Christopher Coons,https://justfacts.votesmart.org/candidate/political-courage-test/122834/chris-coons
Joe Manchin,https://justfacts.votesmart.org/candidate/political-courage-test/7547/joe-manchin-iii
Robert Aderholt,https://votesmart.org/candidate/political-courage-test/441/robert-aderholt/
Tammy Baldwin,https://justfacts.votesmart.org/candidate/political-courage-test/3470/tammy-baldwin
Michael Bennet,https://justfacts.votesmart.org/candidate/political-courage-test/110942/michael-bennet
Gus Bilirakis,https://justfacts.votesmart.org/candidate/political-courage-test/17318/gus-bilirakis
Sanford Bishop,https://justfacts.votesmart.org/candidate/political-courage-test/26817/sanford-bishop-jr
Marsha Blackburn,https://justfacts.votesmart.org/candidate/political-courage-test/25186/marsha-blackburn
Earl Blumenauer,https://justfacts.votesmart.org/candidate/political-courage-test/367/earl-blumenauer
Richard Blumenthal,https://justfacts.votesmart.org/candidate/political-courage-test/1568/richard-blumenthal
John Boozman,https://justfacts.votesmart.org/candidate/political-courage-test/27958/john-boozman
Vern Buchanan,https://justfacts.votesmart.org/candidate/political-courage-test/66247/vern-buchanan
Larry Bucshon,https://justfacts.votesmart.org/candidate/key-votes/120335/larry-bucshon
Michael Burgess,https://justfacts.votesmart.org/candidate/political-courage-test/50120/michael-burgess
Ken Calvert,https://justfacts.votesmart.org/candidate/political-courage-test/26777/ken-calvert
Shelley Capito,https://justfacts.votesmart.org/candidate/political-courage-test/11701/shelley-capito
AndrÃ© Carson,https://justfacts.votesmart.org/candidate/political-courage-test/84917/andre-carson
John Carter,https://justfacts.votesmart.org/candidate/political-courage-test/49296/john-carter
Bill Cassidy,https://justfacts.votesmart.org/candidate/political-courage-test/69494/bill-cassidy
Kathy Castor,https://justfacts.votesmart.org/candidate/political-courage-test/53825/kathy-castor
Judy Chu,https://justfacts.votesmart.org/candidate/political-courage-test/16539/judy-chu
Yvette Clarke,https://justfacts.votesmart.org/candidate/political-courage-test/44741/yvette-clarke
Emanuel Cleaver,https://justfacts.votesmart.org/candidate/political-courage-test/39507/emanuel-cleaver-ii
James Clyburn,https://justfacts.votesmart.org/candidate/political-courage-test/27066/jim-clyburn
Steve Cohen,https://justfacts.votesmart.org/candidate/political-courage-test/24340/steve-cohen
Tom Cole,https://justfacts.votesmart.org/candidate/political-courage-test/46034/tom-cole
Gerald Connolly,https://justfacts.votesmart.org/candidate/political-courage-test/95078/gerry-connolly
Jim Costa,https://justfacts.votesmart.org/candidate/political-courage-test/3577/jim-costa
Joe Courtney,https://justfacts.votesmart.org/candidate/political-courage-test/30333/joe-courtney
Michael Crapo,https://justfacts.votesmart.org/candidate/political-courage-test/26830/mike-crapo
Eric Crawford,https://justfacts.votesmart.org/candidate/119208/rick-crawford
Henry Cuellar,https://justfacts.votesmart.org/candidate/political-courage-test/5486/henry-cuellar
Danny Davis,https://justfacts.votesmart.org/candidate/political-courage-test/233/danny-davis
Diana DeGette,https://justfacts.votesmart.org/candidate/political-courage-test/561/diana-degette
Rosa DeLauro,https://justfacts.votesmart.org/candidate/political-courage-test/26788/rosa-delauro
Scott DesJarlais,https://justfacts.votesmart.org/candidate/political-courage-test/123473/scott-desjarlais
Mario Diaz-Balart,https://justfacts.votesmart.org/candidate/political-courage-test/24312/mario-diaz-balart
Lloyd Doggett,https://justfacts.votesmart.org/candidate/political-courage-test/21689/lloyd-doggett-ii
Jeff Duncan,https://justfacts.votesmart.org/candidate/political-courage-test/47967/jeff-duncan
Anna Eshoo,https://justfacts.votesmart.org/candidate/political-courage-test/26741/anna-eshoo
Charles Fleischmann,https://justfacts.votesmart.org/candidate/political-courage-test/123456/chuck-fleischmann
Virginia Foxx,https://justfacts.votesmart.org/candidate/political-courage-test/6051/virginia-foxx
John Garamendi,https://justfacts.votesmart.org/candidate/29664/john-garamendi
Paul Gosar,https://justfacts.votesmart.org/candidate/political-courage-test/123491/paul-gosar
Kay Granger,https://justfacts.votesmart.org/candidate/political-courage-test/334/kay-granger
Charles Grassley,https://justfacts.votesmart.org/candidate/political-courage-test/53293/chuck-grassley
Sam Graves,https://justfacts.votesmart.org/candidate/political-courage-test/9425/sam-graves
Al Green,https://justfacts.votesmart.org/candidate/political-courage-test/49680/al-green
H. Griffith,https://justfacts.votesmart.org/candidate/political-courage-test/130625/harry-griffith
RaÃºl Grijalva,https://votesmart.org/candidate/political-courage-test/28253/
Brett Guthrie,https://justfacts.votesmart.org/candidate/political-courage-test/18829/brett-guthrie
Andy Harris,https://justfacts.votesmart.org/candidate/political-courage-test/19157/andy-harris
Martin Heinrich,https://justfacts.votesmart.org/candidate/political-courage-test/74517/martin-heinrich
James Himes,https://justfacts.votesmart.org/candidate/political-courage-test/106744/jim-himes
Mazie Hirono,https://justfacts.votesmart.org/candidate/political-courage-test/1677/mazie-hirono
John Hoeven,https://justfacts.votesmart.org/candidate/political-courage-test/41788/john-hoeven
Steny Hoyer,https://justfacts.votesmart.org/candidate/political-courage-test/26890/steny-hoyer
Bill Huizenga,https://justfacts.votesmart.org/candidate/political-courage-test/38351/bill-huizenga
Henry Johnson,https://justfacts.votesmart.org/candidate/political-courage-test/68070/hank-johnson-jr
Ron Johnson,https://justfacts.votesmart.org/candidate/political-courage-test/126217/ron-johnson
Jim Jordan,https://justfacts.votesmart.org/candidate/political-courage-test/8158/jim-jordan
Marcy Kaptur,https://justfacts.votesmart.org/candidate/political-courage-test/27016/marcy-kaptur
William Keating,https://justfacts.votesmart.org/candidate/political-courage-test/4743/bill-keating
Mike Kelly,https://justfacts.votesmart.org/candidate/political-courage-test/125060/mike-kelly
Doug Lamborn,https://justfacts.votesmart.org/candidate/political-courage-test/2698/doug-lamborn
James Lankford,https://justfacts.votesmart.org/candidate/political-courage-test/124938/james-lankford
Rick Larsen,https://justfacts.votesmart.org/candidate/political-courage-test/56231/rick-larsen
John Larson,https://votesmart.org/candidate/political-courage-test/17188/john-larson/
Robert Latta,https://justfacts.votesmart.org/candidate/political-courage-test/9926/bob-latta
Barbara Lee,https://justfacts.votesmart.org/candidate/political-courage-test/8315/barbara-lee
Mike Lee,https://justfacts.votesmart.org/candidate/political-courage-test/66395/mike-lee
Zoe Lofgren,https://justfacts.votesmart.org/candidate/political-courage-test/21899/zoe-lofgren
Frank Lucas,https://justfacts.votesmart.org/candidate/political-courage-test/27032/frank-lucas
Blaine Luetkemeyer,https://justfacts.votesmart.org/candidate/political-courage-test/20400/blaine-luetkemeyer
Ben LujÃ¡n,https://justfacts.votesmart.org/candidate/political-courage-test/102842/ben-lujan-jr
Stephen Lynch,https://votesmart.org/candidate/political-courage-test/4844/
Edward Markey,https://justfacts.votesmart.org/candidate/political-courage-test/26900/ed-markey
Doris Matsui,https://justfacts.votesmart.org/candidate/political-courage-test/28593/doris-matsui
Michael McCaul,https://justfacts.votesmart.org/candidate/political-courage-test/49210/michael-mccaul
Tom McClintock,https://justfacts.votesmart.org/candidate/political-courage-test/9715/tom-mcclintock
Betty McCollum,https://justfacts.votesmart.org/candidate/political-courage-test/3812/betty-mccollum
James McGovern,https://justfacts.votesmart.org/candidate/political-courage-test/154820/james-mcgovern
Patrick McHenry,https://justfacts.votesmart.org/candidate/political-courage-test/21031/patrick-mchenry
